Component_ID,Component_Name,Product_Model_Name,Material_Spec,Feature_Spec,Product_Description,Cross_Reference_Compatibility,Category_Key,SubCategory_Key,Quality_Key,Unit_of_Measure,Price_Local,Currency,Price_USD,Manufacturer,Country_Source,URL_Image,Notes,Category_SubCategory_Key
COMP-BATHROOMFIXTURES-BASIN-BASIC-AR-GENERICO-LAVABOPORCELANA50CM,Lavabo Básico,Lavabo Porcelana 50cm,Porcelana,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Lavabo de porcelana de 50 cm con diseño simple ideal para baños económicos.,Compatible con grifos monocomando estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$10,000",ARS,,Genérico,7,https://www.sodimac.com.ar/lavabo-porcelana-50cm,Diseño funcional,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-AR-LOCALMANUFACTURERS-LAVABOBASICO48CM,Lavabo Básico,Lavabo Básico 48cm,Porcelana,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Lavabo básico de 48 cm para baños de bajo presupuesto.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$9,500",ARS,,Local Manufacturers,7,https://www.sodimac.com.ar/lavabo-basico-48cm,Práctico y económico,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-AR-SODIMAC-LAVABOECONOMICO45CM,Lavabo Básico,Lavabo Económico 45cm,Porcelana,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Lavabo económico de 45 cm para baños pequeños fácil de instalar.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$9,000",ARS,,Sodimac,7,https://www.sodimac.com.ar/lavabo-economico-45cm,Compacto y económico,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-BR-DECA-DECALAVABOECONOMICO,Lavabo,Deca - Lavabo Econômico,Cerâmica,Design simples,Lavabo cerâmico com design simples para banheiros básicos,Compatível com grifos padrío,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,$250,BRL,,Deca,24,,Lavabo básico para banheiros econômicos,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-BR-DECA-LAVABODECABASICO,Lavabo Básico 2,Lavabo Deca Básico,Porcelana,Certificaciones: ISO 9001; Fácil limpieza,Lavabo de porcelana básico para baños económicos.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,$450,BRL,,Deca,24,https://www.telhanorte.com.br/lavabo-deca-basico,Estilo clásico,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-BR-INCEPA-LAVABOINCEPABASICO,Lavabo Básico 3,Lavabo Incepa Básico,Porcelana,Certificaciones: ISO 9001; Fácil limpieza,Lavabo de porcelana básico para baños económicos.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,$480,BRL,,Incepa,24,https://www.leroymerlin.com.br/lavabo-incepa-basico,Práctico y económico,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-BR-ROCA-LAVABOROCABASICO,Lavabo Básico 1,Lavabo Roca Básico,Porcelana,Certificaciones: ISO 9001; Fácil limpieza,Lavabo de porcelana básico para baños económicos.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,$500,BRL,,Roca,24,https://www.leroymerlin.com.br/lavabo-roca-basico,Diseño funcional,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-CL-DECA-DECAASPENBATHROOMSINK,Lavabo Básico 2,Deca Aspen bathroom sink,Ceramic,Certificaciones: ISO 9001; Fácil instalación; Resistente a manchas,Lavabo cerámico para baños básicos.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$35,000",CLP,,Deca,35,https://www.mercadolibre.cl/lavabos-deca-aspen,Estilo clásico,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-CL-INCEPA-INCEPALAVATORYMODEL1852110,Lavabo Básico 3,Incepa lavatory model 1852110,Ceramic,Certificaciones: ISO 9001; Fácil limpieza; Resistente a manchas,Lavabo cerámico rectangular para baños básicos.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$38,000",CLP,,Incepa,35,https://www.linio.cl/c/plomeria-bano/lavabos-incepa,Práctico y funcional,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-CL-ROCA-ROCATHEGAP550MM1TAPHOLEBASINWITHSEMIPEDESTAL,Lavabo Básico 1,Roca The Gap 550mm 1 tap hole basin with semi pedestal,Vitreous China,Certificaciones: ISO 9001; Fácil limpieza; Resistente a manchas,Lavabo de porcelana vítrea con diseño rectangular para baños económicos.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$40,000",CLP,,Roca,35,https://www.sodimac.cl/sodimac-cl/product/123456789/Lavabo-Roca-The-Gap-550mm,Estilo funcional,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-PY-CENTRODEMATERIALES-CENTRODEMATERIALESBASICO45CM,Lavabo Básico 3,Centro de Materiales Básico 45cm,Porcelana,Certificaciones: ISO 9001; Fácil instalación,Lavabo básico de porcelana para baños de bajo presupuesto,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$90,000",PYG,,Centro de Materiales,137,https://www.centrodemateriales.com.py/producto/lavabo_basico_45cm,Económico y práctico,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-PY-CHACORE-CHACORESTANDARD48CM,Lavabo Básico 2,Chacore Standard 48cm,Porcelana,Certificaciones: ISO 9001; Resistente a manchas,Lavabo estándar de porcelana para baños básicos,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$95,000",PYG,,Chacore,137,http://www.chacore.com.py/producto/lavabo_standard_48cm,Acabado elegante,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-PY-CONSTRUEX-CONSTRUEXECONOMICO50CM,Lavabo Básico 1,Construex Económico 50cm,Porcelana,Certificaciones: ISO 9001; Fácil limpieza,Lavabo de porcelana para baños económicos,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$100,000",PYG,,Construex,137,https://www.construex.com.py/exhibidores/materiales/producto/lavabo_economico_50cm,Diseño funcional,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-UY-JUANCONSTRUYE-LAVABOECONOMICO50CM,Lavabo Básico 1,Lavabo Económico 50cm,Porcelana,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Lavabo de porcelana estándar de 50 cm con diseño simple ideal para baños económicos.,Compatible con grifos monocomando estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$10,000",UYU,,Juan Construye,188,http://juanconstruye.com.uy/bano/lavabo-economico-50cm,Diseño funcional,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-UY-LOCALSUPPLIER-LAVABOBASICO45CM,Lavabo Básico 3,Lavabo Básico 45cm,Porcelana,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Lavabo básico de porcelana para baños de bajo presupuesto.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$9,000",UYU,,Local Supplier,188,http://localsupplier.uy/lavabo-basico-45cm,Económico y funcional,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BASIN-BASIC-UY-ROZEN-LAVABOSTANDARD48CM,Lavabo Básico 2,Lavabo Standard 48cm,Porcelana,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Lavabo estándar de porcelana con diseño clásico para baños básicos.,Compatible con grifos estándar,BATHROOM_FIXTURES,BASIN,BASIC,Pieza,"$9,500",UYU,,Rozen,188,https://rozen.com.uy/banos/lavabo-standard-48cm,Estilo clásico,BATHROOM_FIXTURES|BASIN
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-AR-CERAMICASANLORENZO-CERAMICASANLORENZOCSLBSC30,Piso Cerámico Básico 30x30,Cerámica San Lorenzo CSL-BSC30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Piso Cerámico Básico 30x30,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,"$9,381",ARS,,Cerámica San Lorenzo,7,0.0008527936,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-AR-CEUSA-CEUSACEBL30,Revestimiento Ceusa Blanco,Ceusa CE-BL30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Revestimiento Ceusa Blanco,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,"$11,726",ARS,,Ceusa,7,0.0008527936,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-BR-CERAMICASANLORENZO-CERAMICASANLORENZOCSLBSC30,Piso Cerámico Básico 30x30,Cerámica San Lorenzo CSL-BSC30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Piso Cerámico Básico 30x30,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,$8,USD,,Cerámica San Lorenzo,24,Check Code,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-BR-CEUSA-CEUSACEBL30,Revestimiento Ceusa Blanco,Ceusa CE-BL30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Revestimiento Ceusa Blanco,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,$10,USD,,Ceusa,24,Check Code,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-CL-CERAMICASANLORENZO-CERAMICASANLORENZOCSLBSC30,Piso Cerámico Básico 30x30,Cerámica San Lorenzo CSL-BSC30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Piso Cerámico Básico 30x30,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,"$7,610",CLP,,Cerámica San Lorenzo,35,0.00105127046,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-CL-CEUSA-CEUSACEBL30,Revestimiento Ceusa Blanco,Ceusa CE-BL30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Revestimiento Ceusa Blanco,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,"$9,512",CLP,,Ceusa,35,0.00105127046,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-PY-CERAMICASANLORENZO-CERAMICASANLORENZOCSLBSC30,Piso Cerámico Básico 30x30,Cerámica San Lorenzo CSL-BSC30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Piso Cerámico Básico 30x30,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,"$64,057",PYG,,Cerámica San Lorenzo,137,0.000124888459,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-PY-CEUSA-CEUSACEBL30,Revestimiento Ceusa Blanco,Ceusa CE-BL30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Revestimiento Ceusa Blanco,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,"$80,071",PYG,,Ceusa,137,0.000124888459,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-UY-CERAMICASANLORENZO-CERAMICASANLORENZOCSLBSC30,Piso Cerámico Básico 30x30,Cerámica San Lorenzo CSL-BSC30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Piso Cerámico Básico 30x30,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,$336,UYU,,Cerámica San Lorenzo,188,0.023835,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFLOORING-BASIC-UY-CEUSA-CEUSACEBL30,Revestimiento Ceusa Blanco,Ceusa CE-BL30,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Revestimiento Ceusa Blanco,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,BATHROOM_FLOORING,BASIC,Pieza,$420,UYU,,Ceusa,188,0.023835,Auto-generated entry,BATHROOM_FIXTURES|BATHROOM_FLOORING
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-AR-GENERICO-MUEBLEBASICO50CM,Muebles de Baño Básicos,Mueble Básico 50cm,MDF,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Mueble básico de MDF para baños económicos fácil de instalar.,Compatible con lavabos estándar,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$13,000",ARS,,Genérico,7,https://www.sodimac.com.ar/mueble-basico-50cm,Funcional y económico,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-AR-LOCALCARPENTRYSHOPS-MUEBLEECONOMICO55CM,Muebles de Baño Básicos,Mueble Económico 55cm,MDF,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Mueble económico de MDF para baños básicos con espacio limitado.,Compatible con lavabos estándar,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$14,000",ARS,,Local Carpentry Shops,7,https://www.sodimac.com.ar/mueble-economico-55cm,Diseño simple,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-AR-SODIMAC-MUEBLEBAJOLAVABO60CM,Muebles de Baño Básicos,Mueble Bajo Lavabo 60cm,MDF,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Mueble de baño de MDF con lavabo integrado para baños pequeños.,Compatible con lavabos de 60 cm,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$15,000",ARS,,Sodimac,7,https://www.sodimac.com.ar/mueble-bajo-lavabo-60cm,Almacenamiento compacto,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-BR-DECA-DECAMOVELDEBANHEIROECONOMICO,Móveis de Banheiro,Deca - Móvel de Banheiro Econômico,MDF,Design simples,Móvel de banheiro com design simples para banheiros básicos,Compatível com lavabos padrío,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,$300,BRL,,Deca,24,,Móvel de banheiro básico para banheiros econômicos,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-BR-DECA-MUEBLEDEBANODECABASICO,Mueble de Baño Básico 2,Mueble de Baño Deca Básico,MDF,Certificaciones: ISO 9001; Cierre suave,Mueble de baño básico con diseño simple.,Compatible con lavabos estándar,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$1,400",BRL,,Deca,24,https://www.telhanorte.com.br/mueble-bano-deca-basico,Diseño funcional,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-BR-INCEPA-MUEBLEDEBANOINCEPABASICO,Mueble de Baño Básico 3,Mueble de Baño Incepa Básico,MDF,Certificaciones: ISO 9001; Cierre suave,Mueble de baño básico con diseño simple.,Compatible con lavabos estándar,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$1,450",BRL,,Incepa,24,https://www.leroymerlin.com.br/mueble-bano-incepa-basico,Práctico y económico,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-BR-ROCA-MUEBLEDEBANOROCABASICO,Mueble de Baño Básico 1,Mueble de Baño Roca Básico,MDF,Certificaciones: ISO 9001; Cierre suave,Mueble de baño básico con diseño simple.,Compatible con lavabos estándar,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$1,500",BRL,,Roca,24,https://www.leroymerlin.com.br/mueble-bano-roca-basico,Almacenamiento compacto,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-CL-DECA-DECABENTOBATHROOMFURNITURESET,Muebles de Baño Básico 2,Deca Bento bathroom furniture set,MDF con Melamina,Certificaciones: ISO 9001; Cierre suave,Mueble de baño con diseño moderno y almacenamiento.,Compatible con lavabos Deca,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$45,000",CLP,,Deca,35,https://www.mercadolibre.cl/muebles-bano-deca-bento,Diseño contemporáneo,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-CL-INCEPA-INCEPAESSENZABATHROOMFURNITURESET,Muebles de Baño Básico 3,Incepa Essenza bathroom furniture set,MDF con Melamina,Certificaciones: ISO 9001; Cierre suave,Mueble de baño con diseño funcional y almacenamiento.,Compatible con lavabos Incepa,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$48,000",CLP,,Incepa,35,https://www.linio.cl/c/plomeria-bano/muebles-incepa,Alta calidad,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-CL-ROCA-ROCATHEGAPBATHROOMFURNITURESET,Muebles de Baño Básico 1,Roca The Gap bathroom furniture set,MDF con Melamina,Certificaciones: ISO 9001; Cierre suave,Mueble de baño con diseño funcional y espacio de almacenamiento.,Compatible con lavabos Roca,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$50,000",CLP,,Roca,35,https://www.sodimac.cl/sodimac-cl/product/987654321/Mueble-Bano-Roca-The-Gap,Estilo moderno,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-PY-CENTRODEMATERIALES-CENTRODEMATERIALESBAS19,Mueble Baño Básico 3,Centro de Materiales Bás19,MDF,Certificaciones: ISO 9001; Cierre suave,Mueble de baño básico para baños de bajo presupuesto,Compatible con lavabos estándar,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$130,000",PYG,,Centro de Materiales,137,https://www.centrodemateriales.com.py/producto/mueble_bano_basico_50cm,Económico y práctico,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-PY-CHACORE-CHACORESTANDARD55CM,Mueble Baño Básico 2,Chacore Standard 55cm,MDF,Certificaciones: ISO 9001; Cierre suave,Mueble de baño estándar con diseño funcional,Compatible con lavabos estándar,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$140,000",PYG,,Chacore,137,http://www.chacore.com.py/producto/mueble_bano_standard_55cm,Diseño funcional,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-PY-CONSTRUEX-CONSTRUEXECONOMICO60CM,Mueble Baño Básico 1,Construex Económico 60cm,MDF,Certificaciones: ISO 9001; Cierre suave,Mueble de baño básico con diseño simple,Compatible con lavabos estándar,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$150,000",PYG,,Construex,137,https://www.construex.com.py/exhibidores/materiales/producto/mueble_bano_economico_60cm,Almacenamiento compacto,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-UY-JUANCONSTRUYE-MUEBLEBANOECONOMICO60CM,Mueble Baño Básico 1,Mueble Baño Económico 60cm,MDF,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Mueble de baño básico de MDF con diseño simple para baños pequeños.,Compatible con lavabos estándar de 60 cm,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$15,000",UYU,,Juan Construye,188,http://juanconstruye.com.uy/bano/mueble-bano-economico-60cm,Almacenamiento compacto,BATHROOM_FIXTURES|BATHROOM_FURNITURE
COMP-BATHROOMFIXTURES-BATHROOMFURNITURE-BASIC-UY-LOCALSUPPLIER-MUEBLEBANOBASICO50CM,Mueble Baño Básico 3,Mueble Baño Básico 50cm,MDF,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas,Mueble de baño básico de MDF para baños de bajo presupuesto.,Compatible con lavabos estándar de 50 cm,BATHROOM_FIXTURES,BATHROOM_FURNITURE,BASIC,Pieza,"$14,000",UYU,,Local Supplier,188,http://localsupplier.uy/mueble-bano-basico-50cm,Económico y práctico,BATHROOM_FIXTURES|BATHROOM_FURNITURE
